Num,Chemical,CASRN,Arith.Mean.EC3,Geo.Mean.EC3,Median.EC3,Median_NC.EC3,Min.EC3,LLNA.potency.MNC,LLNA.potency.3class.MNC,LLNA.Call.MNC,Basketter.human.potency,human.Call,human.potency.3class,human.potency.5class
2,Methyldibromo glutaronitrile,35691-65-7,0.9,0.9,0.9,0.9,0.9,Strong,Strong,1,2,1,Strong,Strong
3,2-Mercaptobenzothiazole,149-30-4,4.01,3.21,2.6,2.6,1,Moderate,Weak,1,3,1,Weak,Moderate
4,Cinnamic aldehyde,104-55-2,1.17,0.9,1.15,1.15,0.05,Moderate,Weak,1,2,1,Strong,Strong
5,Tetramethylthiuramdisulfide,137-26-8,3,1.28,2.93,2.93,0.13,Moderate,Weak,1,3,1,Weak,Moderate
6,Salicylic acid,69-72-7,12.2,12.2,12.2,12.2,12.2,Weak,Weak,1,6,0,Non,Non
7,Lactic acid,50-21-5,NA,NA,NA,NA,NA,Non,Non,0,6,0,Non,Non
8,Sodium lauryl sulfate,151-21-3,5.51,3.95,3.55,3.55,1.5,Moderate,Weak,1,6,0,Non,Non
9,Phenyl benzoate,93-99-2,14.46,9.46,18.33,18.33,1.2,Weak,Weak,1,3,1,Weak,Moderate
10,Lauryl gallate,1166-52-5,0.3,0.3,0.3,0.3,0.3,Strong,Strong,1,2,1,Strong,Strong
12,Diphenylcyclopropenone,886-38-4,0.05,0.05,0.05,0.05,0.05,Extreme,Strong,1,1,1,Strong,Extreme
17,"2,4-Dinitrochlorobenzen DNCB",97-00-7,0.06,0.05,0.06,0.06,0.01,Extreme,Strong,1,1,1,Strong,Extreme
22,Dimethyl fumarate,624-49-7,0.35,0.35,0.35,0.35,0.35,Strong,Strong,1,1,1,Strong,Extreme
27,Glutaraldehyde (act. 50%),111-30-8,0.35,0.13,0.09,0.09,0.02,Extreme,Strong,1,2,1,Strong,Strong
28,"1,4-Dihydroquinone",123-31-9,0.43,0.18,0.12,0.12,0.06,Strong,Strong,1,3,1,Weak,Moderate
29,"1,4-Phenylenediamine",106-50-3,0.35,0.11,0.15,0.15,0,Strong,Strong,1,1,1,Strong,Extreme
33,Benzoyl peroxide,94-36-0,0.09,0.05,0.06,0.06,0,Extreme,Strong,1,3,1,Weak,Moderate
34,Propyl gallate,121-79-9,0.32,0.32,0.32,0.32,0.32,Strong,Strong,1,2,1,Strong,Strong
